Match 5 and 2 Euro Numbers,Match 5 and 1 Euro Number,Match 5,Match 4 and 2 Euro Numbers,Match 4 and 1 Euro Number,Match 4,Match 3 and 2 Euro Numbers,Match 2 and 2 Euro Numbers,Match 3 and 1 Euro Number,Match 3,Match 1 and 2 Euro Numbers,Match 2 and 1 Euro Number
0,1,7,42,791,1807,1440,19578,31177,73274,104249,417353
1,8,9,150,1678,2747,6234,98760,85007,138572,496340,1272441
0,7,6,102,1799,2917,4165,62245,82832,129148,330727,1186544
0,2,6,124,1522,2261,4706,66728,66577,100814,338459,931749
0,5,3,74,1090,1919,3113,43059,48899,86782,219136,687775
0,1,7,44,838,1811,2410,38213,36706,70808,205938,557705
0,4,8,32,662,1186,1578,23850,30358,54020,128698,472493
0,1,2,43,595,976,1739,25800,27901,46663,147178,434405
0,2,4,39,515,931,1663,23802,25363,48084,132336,382174
0,0,7,60,854,1377,1667,23401,32816,56140,112974,431963
0,4,3,27,490,895,1516,21567,23262,41914,113631,350158
0,3,8,39,593,946,1885,26445,24764,40903,141364,356866
1,2,5,24,550,801,1321,19441,26407,40126,101850,389596
1,0,2,29,483,877,1656,25458,23328,40832,133564,360287
1,3,2,37,543,984,1298,18551,26045,47705,98770,394313
0,0,1,23,412,735,1175,18077,20789,35578,103111,333087
0,1,11,31,457,793,1353,20862,23014,38657,113091,356672
1,4,6,42,742,1283,2129,28549,32337,56500,148659,455860
0,2,4,34,608,992,1500,25102,25366,44298,138372,385117
0,1,5,37,576,1163,1615,23459,26922,48863,125020,385091
0,3,5,32,601,1196,1268,18348,27358,50929,91817,376301
0,1,3,36,512,917,1796,25119,24200,40257,135059,360034
2,5,7,136,907,1503,3696,45737,34874,54237,229808,461326
0,3,5,23,433,740,1292,19972,22446,36136,115484,346250
0,3,6,40,519,887,1388,18994,20895,37632,102942,312290
1,4,3,41,610,951,1957,32110,28438,48140,184642,445853
0,2,4,40,631,947,1842,26068,29748,48320,132459,456062
0,0,2,29,494,851,1694,25616,24874,41586,142830,368899
0,0,6,36,546,869,1356,20547,23358,41191,113707,341571
0,0,5,28,528,763,1270,18132,24492,36992,96725,372536
0,3,10,23,695,1145,1065,15185,26137,44402,78965,362473
1,2,7,35,618,1195,1717,24274,29804,57691,128063,434928
0,5,3,62,979,1370,2652,35181,35030,55131,181195,457968
0,5,8,74,982,1468,2130,27228,34991,55555,131322,443683
0,0,3,29,484,761,1470,22457,23046,38512,119867,353043
0,5,4,52,579,1024,1973,27988,26511,44695,139980,377151
0,4,3,26,496,962,1418,19710,23072,43044,105111,329736
1,7,37,34,952,2027,2077,25241,37604,79479,123361,457728
0,3,4,35,586,1038,1694,26386,26633,46915,147145,393777
0,2,9,36,663,1081,1394,20090,28158,52004,109929,395666
0,2,1,30,637,1049,1625,24244,28311,47168,126364,397780
0,0,3,33,444,704,1640,26095,23479,36627,153811,373448
0,4,3,24,465,753,1324,19705,21422,36168,110529,331983
1,3,10,56,1009,1958,2708,39240,48409,85379,206245,668674
0,6,8,65,828,1364,2906,44839,39181,65776,253400,598460
0,4,4,45,719,1249,2062,30541,34362,62480,172916,516931
0,3,5,38,586,998,2007,32667,28781,49986,185186,454713
0,9,6,28,1070,1462,1627,24503,37192,56660,129491,493849
0,4,3,30,605,936,1506,22357,30098,45333,120883,442520
0,3,9,35,839,1735,1513,20408,31182,68910,102499,404390
0,7,21,51,1161,2305,1890,23847,34068,63715,117450,428994
0,6,5,37,840,1127,1510,22010,27224,45114,116338,387514
2,3,3,49,860,1335,2362,34559,34983,57556,182068,500717
0,4,3,47,763,1122,1913,27765,36323,51577,146263,513826
0,2,3,32,639,1161,1676,22760,31135,51184,116447,439855
0,2,3,59,576,875,2387,31659,30244,45093,161054,407246
0,3,5,25,431,895,1454,22324,23120,42966,124726,354957
5,35,30,237,3151,4098,6957,76087,95743,137185,347066,1102845
0,5,5,66,1047,1938,2699,41219,47333,89106,227893,725005
0,4,6,72,1390,2002,3109,44188,58727,85122,237236,817074
0,3,7,45,823,1552,2299,35241,39064,72685,188939,619252
0,3,5,48,764,1432,1847,25677,33792,65690,132455,480835
0,3,2,46,587,981,2255,36747,28375,46931,231246,430797
0,4,4,36,528,1041,1486,23472,25228,51234,126298,379289
0,5,3,30,520,1076,1643,23322,25514,50515,119935,372973
0,2,2,32,370,681,1288,20571,20992,35712,113285,344316
0,3,4,26,401,815,1104,17216,20283,39241,90991,322492
0,12,4,96,957,1480,2581,24757,30897,51122,107741,384484
1,6,8,36,645,1093,1975,26759,28961,49635,140755,373772
1,8,11,122,1704,2981,5200,71230,70957,120478,371916,1006022
0,2,10,61,1112,1982,2965,44607,50915,94395,249942,779951
0,1,8,45,796,1618,2066,30993,41151,79181,166576,625320
0,4,12,78,979,1986,2793,41546,43576,77042,215428,598461
0,5,7,51,767,1277,2310,33034,34207,57404,177591,487546
0,2,4,31,495,1210,1274,18680,26366,58153,99523,378813
0,2,0,26,479,869,1369,21378,22982,41271,116695,343470
0,2,4,21,495,827,1407,21654,23537,42445,111512,359566
0,1,3,16,351,799,903,13808,18125,38044,73261,274127
0,2,4,28,550,980,1226,17730,23069,41929,91273,325973
0,0,1,54,561,867,1811,25294,25760,39920,124954,356437
1,11,18,67,1336,3082,2903,39695,51956,109702,203828,701076
0,5,4,59,954,1646,2480,35548,41884,69017,190027,585311
0,3,2,25,525,832,1554,23733,25413,42036,135141,393767
0,1,3,23,470,854,1203,19676,21001,40143,108703,329420
0,5,4,30,523,919,1316,20736,24791,41250,107570,372853
0,0,6,26,454,1025,1054,14410,21426,45743,73760,316099
0,2,1,20,417,804,1017,14944,19695,36977,79550,276567
0,4,10,45,505,963,1300,18220,19620,36909,93736,279136
0,3,2,37,474,692,1850,27718,21392,35046,139774,312923
1,1,3,25,295,673,895,13268,14449,33192,74234,226163
1,3,7,23,513,1106,839,11751,19486,41105,62555,253226
0,2,2,20,480,880,1020,13972,21331,41046,72551,267450
1,3,2,30,447,899,1203,17473,22920,41216,97355,344213
0,2,3,24,558,875,1294,18926,24509,39534,98401,362393
0,2,2,25,456,675,1338,19211,21145,33441,103988,303055
0,1,2,17,413,850,837,12865,18461,36863,69149,280055
1,6,9,89,1427,2099,3523,45268,61181,85173,228859,810355
0,3,4,66,771,1359,2833,44917,37514,66523,262079,552347
0,2,3,36,681,1179,2216,34394,31594,55072,195165,482692
0,8,12,47,1110,1987,1814,23608,38695,71466,113663,487156
0,5,10,32,549,1115,1217,17520,26329,50889,92525,371275
0,1,2,42,614,914,1529,21597,27603,40538,109864,391897
0,2,8,28,564,983,1075,16090,22896,40360,83823,315189
0,1,1,24,474,710,1650,24409,20843,33769,122582,310198
0,0,3,20,377,638,911,14934,15997,29393,85240,246895
1,1,1,25,452,863,1338,19075,22853,41616,97255,326478
0,1,8,23,472,1098,1010,14479,19730,42561,76597,275643
0,2,2,27,419,708,1611,23778,20842,35518,130001,303153
1,4,2,44,618,1012,1946,28874,30216,50290,154105,470848
0,3,3,35,525,964,1867,32091,26164,43990,165066,421684
0,3,6,58,775,1264,1863,23795,29614,51741,117673,392264
0,1,4,11,440,777,988,13257,18827,36318,70366,278326
0,5,4,60,696,1113,2015,25306,24171,40492,131807,317347
0,2,6,33,716,1062,1391,19218,29042,40151,94490,369145
0,1,5,18,293,581,897,14557,15999,29710,80250,250606
1,1,5,24,534,963,1298,18474,26881,50840,97968,396986
0,6,16,44,736,1746,1848,23884,27138,55078,119590,357412
0,1,5,39,483,725,1642,25847,21830,32290,132468,345700
0,3,4,21,488,761,1224,17017,20254,32506,89198,288896
0,1,3,47,461,819,1312,18031,18775,33518,98478,269394
1,1,4,34,534,923,1743,26828,26850,46078,133195,391180
0,4,8,52,704,1148,2393,30555,25730,44341,147159,359405
0,1,1,53,611,870,2069,28534,26539,38628,135051,349262
0,3,2,29,524,754,1589,20829,25182,37423,100480,328891
0,4,3,35,516,676,1650,25802,22658,32156,125366,328167
1,4,1,76,633,918,2807,39444,27312,42002,205792,393320
0,5,3,34,579,862,2004,31792,26149,38884,161872,384119
0,2,2,23,444,756,1369,20076,19613,34497,106243,289320
0,3,1,26,406,697,1341,21543,20580,36625,115476,313173
0,3,3,34,503,763,1872,26759,21654,34486,140990,304651
0,4,4,26,430,815,1241,18114,19236,34041,95567,285435
1,2,9,76,852,1314,2795,34392,32388,51668,169329,432582
0,5,7,26,596,987,1292,19586,24319,41910,111257,354718
0,0,1,40,518,837,1807,26922,23706,38264,142482,340164
0,0,4,15,326,546,856,13332,15369,28191,81596,237602
0,1,3,22,503,1070,1249,17687,21778,41989,95272,288882
0,1,2,23,349,738,896,13128,18197,36907,69897,265549
0,3,3,29,476,836,1215,17518,22274,37650,91751,310588
1,1,1,21,380,650,1181,17738,18390,31658,100373,289369
0,2,1,58,487,783,2055,21511,21545,37610,97882,319802
0,3,2,29,475,782,1341,19818,21724,39862,109855,325395
1,3,6,73,1358,3050,3113,45170,59769,133744,237245,838201
0,2,4,69,1200,2050,2952,43362,57715,99237,235211,867644
0,1,4,60,953,1637,3011,46936,43483,75949,261882,670259
0,7,12,90,1104,1918,3093,40043,44622,78229,199730,600434
0,6,1,93,907,1428,3073,41937,39662,61263,201696,532167
0,5,5,31,512,836,1324,21213,23724,37419,121385,368157
0,2,3,22,485,765,1380,21112,23634,36781,116504,354094
0,0,4,24,406,753,1256,19251,20465,35938,101222,305353
0,3,3,42,545,838,2053,28191,26325,37894,136895,367093
0,3,6,33,405,695,1088,15386,19566,32293,80881,285995
0,1,2,25,435,614,1202,15873,22044,30514,82058,319094
0,2,1,14,349,716,687,10079,15900,32280,53090,235030
1,5,2,49,608,947,2277,34066,29096,46965,189366,437055
0,3,7,40,477,986,1282,19341,25232,51033,101472,376728
0,0,5,23,591,1335,1033,15063,23854,51776,78867,324533
0,0,3,41,514,841,1976,29247,25757,38756,150687,352425
0,3,4,21,425,713,1240,18421,20146,33148,95867,305983
0,3,3,26,343,625,1060,15856,17014,29507,87266,262751
0,2,1,27,355,708,849,12445,16700,33419,63308,239569
0,2,3,27,363,572,993,14226,16184,26347,78214,236538
1,5,4,30,373,544,1189,17460,15562,24193,102365,237848
0,4,4,20,548,928,933,13089,20029,37260,66212,261782
0,2,5,9,366,844,767,11130,18530,36441,57158,260892
1,2,3,34,662,1257,1652,24487,29903,57829,132223,440131
0,0,3,27,616,1088,1403,20174,27490,51863,101465,393088
0,4,5,37,599,832,1563,24130,24864,37997,131416,370087
0,0,3,34,452,685,1640,24691,21763,33488,138450,329506
0,3,6,56,738,1252,2377,28758,28773,48515,136942,349654
0,2,3,40,535,738,1970,25025,26737,35104,133646,339561
0,6,2,37,550,731,1438,21464,18701,31421,95301,286141
0,2,3,19,573,834,1154,23114,15243,32142,79551,298375
0,1,4,33,407,732,1573,19134,21391,31555,107045,268020
1,1,1,38,382,449,1629,17867,24638,22593,130918,271015
0,0,2,49,514,613,1851,18444,27369,22883,147989,271325
0,1,2,32,341,496,1628,17836,24679,25926,128785,270291
1,9,8,175,1711,2062,6107,64047,75984,77290,365935,797379
0,1,6,46,649,833,2295,32459,37025,39284,200854,504560
0,2,1,60,773,998,3249,35655,43538,46928,220307,485206
0,1,3,38,439,507,1813,20650,29480,26617,173680,333523
0,3,3,48,396,548,1810,20643,27242,27315,150857,306222
0,2,3,36,424,490,1446,19254,22204,22742,122633,296360
0,5,6,61,483,578,2168,20571,30063,25905,153767,283940
0,3,1,21,264,365,1453,15226,21735,19306,122958,232814
0,1,2,34,342,424,1391,16948,20013,20893,100867,245394
0,2,1,31,298,407,1397,15021,20014,20077,104047,218562
0,1,2,25,413,517,1451,16867,20897,24253,103258,233569
0,0,1,33,351,440,1314,14666,18553,18991,98085,207009
1,3,3,30,436,565,1295,18713,18801,23484,95722,262706
0,0,0,29,358,443,1181,16476,17573,21927,91485,231029
0,2,3,26,430,555,1471,18623,21747,25161,108512,256590
0,3,5,45,462,498,1951,20353,27717,22794,128842,281897
0,3,4,18,385,411,1073,16554,15993,18934,87837,245926
1,0,2,34,484,556,1873,20360,27494,26363,144818,296175
0,0,1,36,468,552,1657,21568,23067,26211,120627,307750
0,3,1,30,519,628,1173,15357,17803,20433,101389,247190
0,1,3,20,380,390,1299,18937,20018,20875,104489,278256
0,1,6,20,334,392,1115,17283,16441,18981,91228,251810
0,0,5,37,607,718,1432,24002,19677,28192,97543,301376
1,5,7,110,1055,1380,4116,46735,55879,60088,286038,644530
0,2,1,67,721,846,2804,34174,42757,41183,232096,507204
0,0,6,80,861,1081,2978,34020,39659,40158,192485,432228
0,1,5,37,444,599,1720,21271,26071,30987,139216,304127
0,3,0,35,388,527,1397,18187,21588,24787,118294,265694
0,2,1,25,339,394,1118,16076,17132,19464,90315,243649
0,3,3,20,344,400,1143,15859,15308,18746,80499,244647
0,0,2,14,288,345,1000,14284,15355,16839,85566,215301
0,1,4,28,316,379,1061,14942,15261,18586,79807,222856
0,1,3,22,245,288,1386,12196,21235,14723,122560,191556
0,3,4,50,550,631,1536,20876,19112,25004,88057,250835
1,4,5,45,426,551,1791,18416,23421,21521,113381,244258
0,3,2,22,292,371,1093,13571,17292,17257,95743,199826
0,0,1,22,275,294,1381,12787,21593,15186,127014,195708
0,3,4,34,414,504,1128,17911,15284,21905,78891,231010
0,2,2,30,374,469,1748,17557,21667,22758,105006,235161
1,2,0,63,388,505,1868,17556,26409,22204,142095,256283
0,2,1,31,420,479,1624,17755,22077,21718,115157,240226
0,2,2,27,224,263,949,12526,14221,15081,78482,197326
0,0,0,41,357,516,1283,14908,18447,20851,96704,213081
0,4,3,33,374,384,1225,16440,17050,18149,86325,236900
0,1,2,30,468,662,1471,20352,18965,27219,88504,250401
0,0,0,29,298,357,1033,12154,15740,15832,89259,185394
1,2,1,26,283,379,1096,15229,16009,18990,85279,229355
0,3,2,25,366,454,971,16597,14594,19873,77179,235949
0,1,1,17,269,355,1097,13721,18147,18668,93795,200700
1,6,2,26,352,508,1264,15941,18252,22164,96643,238822
0,3,5,39,472,644,1531,19296,21147,23669,113908,257832
0,2,0,36,411,514,1373,16771,19304,20875,102457,235178
0,0,2,31,409,494,1316,16087,18933,20693,98229,229713
0,2,1,33,382,475,1446,16635,19925,21915,100280,233003
0,3,8,19,360,423,997,15795,14379,17785,76905,226817
1,2,1,32,361,440,1459,15110,21298,18511,110928,231175
0,0,0,22,335,437,1193,15213,17532,22177,92601,216919
0,1,2,67,540,593,2006,19291,25801,23012,119849,256310
0,4,1,38,490,559,1503,21231,19528,22399,93475,277668
0,3,0,62,681,754,3245,28515,39771,31301,191021,354576
0,1,1,43,440,474,1746,19117,26691,21838,152989,304672
0,2,0,35,459,526,1821,20729,26379,23977,128108,299330
0,0,2,29,386,462,1836,17325,26356,21792,134367,248186
0,2,1,16,277,334,1020,13009,16294,15756,99371,200909
0,1,3,41,419,526,1711,17553,21658,23015,106140,231697
0,3,3,55,483,599,2251,19815,27543,23648,128303,254340
0,1,2,27,273,355,1319,13877,19467,17657,111497,207854
0,1,0,20,316,515,1388,15287,18908,22413,93343,211805
0,0,0,21,258,373,1024,12949,15887,17357,87454,206096
1,5,2,42,347,456,1809,16216,25915,19234,139661,227622
0,1,0,24,365,452,1493,17840,21066,21652,105869,255083
0,1,4,32,369,554,1161,15715,17156,23028,88746,237939
1,5,5,64,737,1084,2559,29403,35087,41012,186437,406046
0,2,1,43,417,530,1757,20990,29717,27268,172152,327257
0,1,1,38,434,543,1765,21214,27521,25463,153737,331119
0,2,1,33,395,538,1368,20896,20524,24149,105509,303260
0,0,1,29,266,342,1253,14020,18647,17012,111523,227970
0,5,1,40,344,489,1588,17371,23201,21514,121824,256451
0,0,2,32,313,423,1139,13904,17895,19194,97525,220927
0,1,2,19,251,351,1135,13731,18543,15599,98821,217775
0,1,2,27,316,387,1288,14247,20682,17136,115346,211971
0,1,2,35,377,496,1264,17316,18823,22161,90603,239661
0,1,2,28,386,511,1091,17442,15252,21412,76471,240472
1,2,0,38,591,691,1652,26275,24079,30329,124435,374901
0,2,2,26,616,610,1223,21742,17491,24478,87233,284454
0,0,3,22,241,349,942,13312,13886,15432,82355,219825
0,2,2,30,245,343,985,12021,15343,15485,87574,193691
0,3,4,13,372,461,908,16805,14332,19093,74754,236948
0,0,1,22,233,335,1199,13089,17722,17323,98486,201039
0,5,0,18,320,438,1096,13840,14587,18072,76070,186184
0,2,1,28,289,357,1430,14120,19604,16456,101225,197966
0,1,3,18,355,474,919,17245,12012,18794,60891,208200
0,0,0,15,189,258,799,9889,13429,11978,82320,151919
0,0,1,57,322,393,1826,14107,19533,16449,86602,188874
0,1,2,19,199,271,883,10576,13374,12793,72945,159636
0,4,3,83,574,620,2365,19793,20298,20114,81565,222390
1,0,4,37,375,475,1435,16993,19783,21684,98609,238176
0,0,0,23,271,331,1115,13694,16891,16664,88813,209995
0,2,1,17,237,355,1048,12053,16503,17306,89990,186759
0,0,0,26,218,240,1063,10117,17832,12510,103880,166075
0,1,0,13,240,305,786,11227,12017,16277,64857,165932
0,1,0,19,197,261,810,10014,12625,13236,71735,149762
0,0,2,16,186,262,858,10266,13956,13723,75536,158272
0,0,2,13,224,220,754,10124,12582,12707,67352,159340
0,1,1,23,310,359,1112,11511,15486,14609,76299,157967
1,3,2,36,301,348,978,11962,14131,13289,74170,169988
0,1,1,28,204,239,1035,10605,15691,12730,88643,161747
0,1,1,32,324,417,1804,16917,29266,21101,168765,270833
0,3,3,44,463,521,1544,18375,21163,21851,99633,241237
0,2,2,25,311,371,909,14007,13929,17622,73509,204343
0,3,2,32,310,478,1257,13894,17149,20932,84580,188722
0,3,1,22,283,383,1465,13855,21995,17523,110281,204268
0,1,0,19,294,339,1304,12744,17906,16977,88571,179688
0,2,1,17,325,400,858,15663,11194,16633,56672,208310
0,1,0,16,172,196,715,8738,11904,11013,65554,151173
0,1,0,11,225,254,798,11006,11515,14109,61505,165695
0,1,0,12,209,238,683,10533,9364,12650,51805,157297
0,0,1,19,193,228,1207,10525,19582,12174,108691,158809
0,2,0,17,214,275,782,10260,11965,12257,66096,155436
0,1,1,16,182,241,729,9556,12424,11857,68999,154735
1,1,1,23,226,304,829,9939,12640,13951,72228,152140
0,0,1,12,141,179,776,8492,13307,10478,83258,139493
0,1,0,11,277,312,1022,11445,16412,13276,90274,178350
0,1,1,23,221,272,935,10163,14154,12395,79453,155150
0,0,0,28,387,497,1169,17373,15794,21700,73909,230152
0,1,1,12,185,248,852,10782,14301,13437,77156,181709
0,5,3,46,667,903,1514,19123,16957,26050,74366,198640
0,0,2,12,245,302,763,11848,11675,15319,64513,178977
